像素1校正斜率,1+INT16+10000,像素1校正常量,2+INT16+10000
像素2校正斜率,3+INT16+10000,像素2校正常量,4+INT16+10000
像素3校正斜率,5+INT16+10000,像素3校正常量,6+INT16+10000
像素4校正斜率,7+INT16+10000,像素4校正常量,8+INT16+10000
像素5校正斜率,9+INT16+10000,像素5校正常量,10+INT16+10000
像素6校正斜率,11+INT16+10000,像素6校正常量,12+INT16+10000
像素7校正斜率,13+INT16+10000,像素7校正常量,14+INT16+10000
像素8校正斜率,15+INT16+10000,像素8校正常量,16+INT16+10000
像素9校正斜率,17+INT16+10000,像素9校正常量,18+INT16+10000
像素10校正斜率,19+INT16+10000,像素10校正常量,20+INT16+10000
像素11校正斜率,21+INT16+10000,像素11校正常量,22+INT16+10000
像素12校正斜率,23+INT16+10000,像素12校正常量,24+INT16+10000
像素13校正斜率,25+INT16+10000,像素13校正常量,26+INT16+10000
像素14校正斜率,27+INT16+10000,像素14校正常量,28+INT16+10000
像素15校正斜率,29+INT16+10000,像素15校正常量,30+INT16+10000
像素16校正斜率,31+INT16+10000,像素16校正常量,32+INT16+10000
像素17校正斜率,33+INT16+10000,像素17校正常量,34+INT16+10000
像素18校正斜率,35+INT16+10000,像素18校正常量,36+INT16+10000
像素19校正斜率,37+INT16+10000,像素19校正常量,38+INT16+10000
像素20校正斜率,39+INT16+10000,像素20校正常量,40+INT16+10000
像素21校正斜率,41+INT16+10000,像素21校正常量,42+INT16+10000
像素22校正斜率,43+INT16+10000,像素22校正常量,44+INT16+10000
像素23校正斜率,45+INT16+10000,像素23校正常量,46+INT16+10000
像素24校正斜率,47+INT16+10000,像素24校正常量,48+INT16+10000
像素25校正斜率,49+INT16+10000,像素25校正常量,50+INT16+10000
像素26校正斜率,51+INT16+10000,像素26校正常量,52+INT16+10000
像素27校正斜率,53+INT16+10000,像素27校正常量,54+INT16+10000
像素28校正斜率,55+INT16+10000,像素28校正常量,56+INT16+10000
像素29校正斜率,57+INT16+10000,像素29校正常量,58+INT16+10000
像素30校正斜率,59+INT16+10000,像素30校正常量,60+INT16+10000
像素31校正斜率,61+INT16+10000,像素31校正常量,62+INT16+10000
像素32校正斜率,63+INT16+10000,像素32校正常量,64+INT16+10000
像素33校正斜率,65+INT16+10000,像素33校正常量,66+INT16+10000
像素34校正斜率,67+INT16+10000,像素34校正常量,68+INT16+10000
像素35校正斜率,69+INT16+10000,像素35校正常量,70+INT16+10000
像素36校正斜率,71+INT16+10000,像素36校正常量,72+INT16+10000
